,Linear Regression,Random Forest,Gradient Boosting,XGBoost
±0.1,37.20136518771331,45.73378839590443,37.883959044368595,45.051194539249146
±0.2,58.703071672354945,66.89419795221842,65.8703071672355,68.60068259385666
±0.3,77.81569965870307,81.22866894197952,79.86348122866895,80.2047781569966
±0.4,88.39590443686008,90.44368600682594,88.73720136518772,88.73720136518772
±0.5,93.1740614334471,93.85665529010238,94.19795221843003,93.85665529010238
±1.0,99.65870307167235,98.97610921501706,99.65870307167235,99.31740614334471
